Surname,First_Name,Age,Occupation,Profile_URL
Aab,Pierre Eugène,36,Briquetier,https://communards-1871.fr/index.php?page=fiches/notice&individu=24148&liste=liste_nominative_A
Abadie,Antoine,,,https://communards-1871.fr/index.php?page=fiches/notice&individu=26427&liste=liste_nominative_A
Abadie,Antoine,36,Ajusteur,https://communards-1871.fr/index.php?page=fiches/notice&individu=2378&liste=liste_nominative_A
Abadie,Antoine,17,Marchand des 4 saisons,https://communards-1871.fr/index.php?page=fiches/notice&individu=3711&liste=liste_nominative_A
Abadie,Ismaël Isaac,51,Ingénieur civil,https://communards-1871.fr/index.php?page=fiches/notice&individu=7937&liste=liste_nominative_A
Abadie,Jean,41,Adjudant greffier aux ateliers de travaux publics d’Oran,https://communards-1871.fr/index.php?page=fiches/notice&individu=15540&liste=liste_nominative_A
Abadie,Jean,43,Maréchal ferrant,https://communards-1871.fr/index.php?page=fiches/notice&individu=39563&liste=liste_nominative_A
Abadie,Joseph Honoré,,Menuisier,https://communards-1871.fr/index.php?page=fiches/notice&individu=21100&liste=liste_nominative_A
Abadie,Pierre Edouard,30,Coiffeur,https://communards-1871.fr/index.php?page=fiches/notice&individu=24215&liste=liste_nominative_A
Abadie,Pierre Gaudens,,,https://communards-1871.fr/index.php?page=fiches/notice&individu=42901&liste=liste_nominative_A
Abadie,Victorin,29,Maréchal ferrant,https://communards-1871.fr/index.php?page=fiches/notice&individu=30600&liste=liste_nominative_A
Abart,Hippolyte,,,https://communards-1871.fr/index.php?page=fiches/notice&individu=24788&liste=liste_nominative_A
Abart,Louis,37,Marchand de vins,https://communards-1871.fr/index.php?page=fiches/notice&individu=19815&liste=liste_nominative_A
Abeille,Maxime,,Chapelier sur étoffes,https://communards-1871.fr/index.php?page=fiches/notice&individu=23433&liste=liste_nominative_A
Abel,Jean François,33,Tôlier,https://communards-1871.fr/index.php?page=fiches/notice&individu=2379&liste=liste_nominative_A
Abel,Michel,39,Argenteur,https://communards-1871.fr/index.php?page=fiches/notice&individu=2380&liste=liste_nominative_A
Abel,Pierre,23,Cordonnier,https://communards-1871.fr/index.php?page=fiches/notice&individu=11304&liste=liste_nominative_A
Aberlen,Joseph François,22,Ferblantier,https://communards-1871.fr/index.php?page=fiches/notice&individu=11394&liste=liste_nominative_A
Abondance,Jean Claude,,Chapelier,https://communards-1871.fr/index.php?page=fiches/notice&individu=40054&liste=liste_nominative_A
Abot,Adolphe Jean,60,Perceur sur métaux,https://communards-1871.fr/index.php?page=fiches/notice&individu=35034&liste=liste_nominative_A
About,Eugène,,,https://communards-1871.fr/index.php?page=fiches/notice&individu=41660&liste=liste_nominative_A
Abraham,Jules,,,https://communards-1871.fr/index.php?page=fiches/notice&individu=10615&liste=liste_nominative_A
Abraham,Louis,29,Chaudronnier,https://communards-1871.fr/index.php?page=fiches/notice&individu=35033&liste=liste_nominative_A
Abraham,Maximilien,42,Scieur de bois,https://communards-1871.fr/index.php?page=fiches/notice&individu=31415&liste=liste_nominative_A
Absil,Marie,34,Couturière,https://communards-1871.fr/index.php?page=fiches/notice&individu=25693&liste=liste_nominative_A
Absinth,Bernard,18,Doreur,https://communards-1871.fr/index.php?page=fiches/notice&individu=38864&liste=liste_nominative_A
Absinth,Nicolas,19,Garçon de magasin,https://communards-1871.fr/index.php?page=fiches/notice&individu=38865&liste=liste_nominative_A
"Acace, dit Balcon",Louis,33,Marchand de paniers,https://communards-1871.fr/index.php?page=fiches/notice&individu=39164&liste=liste_nominative_A
Acard,Aimé Eugène,43,Cordonnier,https://communards-1871.fr/index.php?page=fiches/notice&individu=17922&liste=liste_nominative_A
Acard,Almire,,,https://communards-1871.fr/index.php?page=fiches/notice&individu=24209&liste=liste_nominative_A
Acard,Olive Georgette Olympe,27,Sans,https://communards-1871.fr/index.php?page=fiches/notice&individu=22551&liste=liste_nominative_A
Accard,Louis Marie,30,Imprimeur,https://communards-1871.fr/index.php?page=fiches/notice&individu=42391&liste=liste_nominative_A
Accart,Charles Augustin,44,Ebéniste,https://communards-1871.fr/index.php?page=fiches/notice&individu=13430&liste=liste_nominative_A
Achard,,,,https://communards-1871.fr/index.php?page=fiches/notice&individu=17574&liste=liste_nominative_A
Achard,C.,,,https://communards-1871.fr/index.php?page=fiches/notice&individu=14110&liste=liste_nominative_A
Achard,Henry,24,Bronzeur,https://communards-1871.fr/index.php?page=fiches/notice&individu=33952&liste=liste_nominative_A
Achard,Jules,51,Ebéniste,https://communards-1871.fr/index.php?page=fiches/notice&individu=2381&liste=liste_nominative_A
Achard,Jules Alexandre,30,Journalier,https://communards-1871.fr/index.php?page=fiches/notice&individu=261&liste=liste_nominative_A
Achart,Eugène Michel,15,Apprenti passementier,https://communards-1871.fr/index.php?page=fiches/notice&individu=23541&liste=liste_nominative_A
Achat,Pierre,32,Marchand ambulant,https://communards-1871.fr/index.php?page=fiches/notice&individu=20704&liste=liste_nominative_A
Achelier,,,,https://communards-1871.fr/index.php?page=fiches/notice&individu=15594&liste=liste_nominative_A
Acher,Désiré Gérard,40,Voyageur de commerce,https://communards-1871.fr/index.php?page=fiches/notice&individu=10581&liste=liste_nominative_A
Achim,Etienne,,,https://communards-1871.fr/index.php?page=fiches/notice&individu=27032&liste=liste_nominative_A
Achtelsteller,Jean Baptiste Jules,48,Tourneur sur bois,https://communards-1871.fr/index.php?page=fiches/notice&individu=2382&liste=liste_nominative_A
Aciquot,,,,https://communards-1871.fr/index.php?page=fiches/notice&individu=25973&liste=liste_nominative_A
Ackermann,Joseph Auguste,19,Cartonnier,https://communards-1871.fr/index.php?page=fiches/notice&individu=22011&liste=liste_nominative_A
Acloque,Eugène,59,Fabricant de pain d’épices,https://communards-1871.fr/index.php?page=fiches/notice&individu=37271&liste=liste_nominative_A
Aconin,Charles Félix Gustave,27,Etudiant en droit,https://communards-1871.fr/index.php?page=fiches/notice&individu=12711&liste=liste_nominative_A
Acosta,Eugène,20,Tailleur de pierres,https://communards-1871.fr/index.php?page=fiches/notice&individu=33878&liste=liste_nominative_A
Acosta,Joseph,27,Tailleur de pierres,https://communards-1871.fr/index.php?page=fiches/notice&individu=2115&liste=liste_nominative_A
Acoula,Jean,32,Journalier,https://communards-1871.fr/index.php?page=fiches/notice&individu=35456&liste=liste_nominative_A
Acre,Hippolyte,49,Cordonnier,https://communards-1871.fr/index.php?page=fiches/notice&individu=969&liste=liste_nominative_A
Acremant,Joseph,37,Menuisier,https://communards-1871.fr/index.php?page=fiches/notice&individu=39684&liste=liste_nominative_A
Adam,Alexandre Michel,37,Garçon de magasin,https://communards-1871.fr/index.php?page=fiches/notice&individu=25335&liste=liste_nominative_A
Adam,Alexis,,,https://communards-1871.fr/index.php?page=fiches/notice&individu=18204&liste=liste_nominative_A
Adam,Antoine,39,Maçon,https://communards-1871.fr/index.php?page=fiches/notice&individu=2383&liste=liste_nominative_A
